UFC 166		Velasquez vs. Dos Santos 3		2013.10.19		330,000
UFC 130		Rampage vs Hamill		2011.05.28		325,000
UFC 131		Carwin vs. Dos Santos		2011.06.11		325,000
UFC 82		Pride of a Champion		2008.03.01		325,000
UFC 77		Hostile Territory		2007.10.20		325,000
UFC 197		Jones vs. Saint Preux		2016.04.23		322,000
UFC 165		Jones vs. Gustafsson		2013.09.21		310,000
UFC 133		Evans vs. Ortiz 2		2011.08.06		310,000
UFC 185		Pettis vs. Dos Anjos		2015.03.14		310,000
UFC 2		No Way Out		1994.03.11		300,000
UFC 227		Dillashaw vs. Garbrandt 2		2018.08.04		300,000
UFC 171		Hendricks vs. Lawler		2014.03.15		300,000
UFC 58		USA vs Canada		2006.03.04		300,000
UFC 209		Woodley vs. Thompson 2		2017.03.04		300,000
UFC 211		Miocic vs. Dos Santos 2		2017.05.13		300,000
UFC 90		Silva vs Cote		2008.10.25		300,000
UFC 210		Cormier vs. Johnson 2		2017.04.08		300,000
UFC 188		Velasquez vs. Werdum		2015.06.13		300,000
UFC 64		Unstoppable		2006.10.14		300,000
UFC 119		Mir vs Cro Cop		2010.09.25		295,000
UFC 204		Bisping vs. Henderson 2		2016.10.08		290,000
UFC 139		Shogun vs. Henderson		2011.11.19		290,000
UFC 109		Relentless		2010.02.06		285,000
UFC 199		Rockhold vs. Bisping 2		2016.06.04		283,000
UFC 52		Couture vs. Liddell 2		2005.04.16		280,000
UFC 137		Penn vs. Diaz		2011.10.29		280,000
UFC 108		Evans vs Silva		2010.01.02		275,000
UFC 164		Henderson vs. Pettis 2		2013.08.31		270,000
UFC 125		Resolution		2011.01.01		270,000
UFC 222		Cyborg vs. Kunitskaya		2018.03.03		260,000
UFC 127		Penn vs Fitch		2011.02.26		260,000
UFC 5		Return of the Beast		1995.04.07		260,000
UFC 225		Whittaker vs. Romero 2		2018.06.09		250,000
UFC 192		Cormier vs. Gustafsson		2015.10.03		250,000
UFC 6		Clash of the Titans		1995.07.14		240,000
UFC 201		Lawler vs. Woodley		2016.07.30		240,000
UFC 142		Aldo vs. Mendes		2012.01.14		235,000
UFC 149		Faber vs. Barao		2012.07.21		235,000
UFC 169		Barao vs. Faber 2		2014.02.01		230,000
UFC 195		Lawler vs. Condit		2016.01.02		230,000
UFC 218		Holloway vs. Aldo 2		2017.12.02		230,000
UFC 80		Rapid Fire		2008.01.19		225,000
UFC 136		Edgar vs Maynard 3		2011.10.08		225,000
UFC 198		Werdum vs. Miocic		2016.05.14		217,000
UFC 110		Nogueira vs. Velasquez		2010.02.20		215,000
UFC 85		Bedlam		2008.06.07		215,000
UFC 173		Barao vs. Dillashaw		2014.05.24		215,000
UFC 178		Johnson vs. Cariaso		2014.09.27		205,000
UFC 208		Holm vs. de Randamie		2017.02.11		200,000
UFC 72		Victory		2007.06.16		200,000
UFC 56		Full Force		2005.11.19		200,000
UFC 216		Ferguson vs. Lee		2017.10.07		200,000
UFC 212		Aldo vs. Holloway		2017.06.03		200,000
UFC 7		The Brawl in Buffalo		1995.09.08		190,000
UFC 180		Werdum vs. Hunt		2014.11.15		190,000
UFC 150		Henderson vs. Edgar 2		2012.08.11		190,000
UFC 163		Aldo vs. Korean Zombie		2013.08.03		180,000
UFC 179		Aldo vs. Mendes 2		2014.10.25		180,000
UFC 147		Silva vs. Franklin 2		2012.06.23		175,000
UFC 8		David vs Goliath		1996.02.16		160,000
UFC 206		Holloway vs. Pettis		2016.12.10		150,000
UFC 54		Boiling Point		2005.08.20		150,000
UFC 40		Vendetta		2002.11.22		150,000
UFC 161		Evans vs. Henderson		2013.06.15		140,000
UFC 221		Romero vs. Rockhold		2018.02.10		130,000
UFC 228		Woodley vs. Till		2018.09.08		130,000
UFC 213		Romero vs. Whittaker		2017.07.08		130,000
UFC 186		Johnson vs. Horiguchi		2015.04.25		125,000
UFC 55		Fury		2005.10.07		125,000
UFC 177		Dillashaw vs. Soto		2014.08.30		125,000
UFC 174		Johnson vs. Bagautinov		2014.06.14		115,000
UFC 191		Johnson vs. Dodson 2		2015.09.05		115,000
UFC 48		Payback		2004.06.19		110,000
UFC 47		It's On!		2004.04.02		105,000
UFC 51		Super Saturday		2005.02.05		105,000
UFC 215		Nunes vs. Shevchenko 2		2017.09.09		100,000
UFC 44		Undisputed		2003.09.26		94,000
UFC 53		Heavy Hitters		2005.06.04		90,000
UFC 1		The Beginning		1993.11.12		86,000
UFC 224		Nunes vs. Pennington		2018.05.12		85,000
UFC 49		Unfinished Business		2004.08.21		80,000
UFC 46		Supernatural		2004.01.31		80,000
UFC 33		Victory in Vegas		2001.09.28		75,000
UFC 34		High Voltage		2001.11.02		65,000
UFC 36		Worlds Collide		2002.03.22		55,000
UFC 37		High Impact		2002.05.10		50,000
UFC 43		Meltdown		2003.06.06		49,000
UFC 39		The Warriors Return		2002.09.27		45,000
UFC 42		Sudden Impact		2003.04.25		35,000
UFC 35		Throwdown		2002.01.11		35,000
