"","date_won","style","name"."weight","nationality","wins_champion","days_as_champion"
"1", "07/02/1997","Wrestling","Mark Coleman","Heavyweight","USA",0,170,
"2","27/07/1997","Kickboxing","Maurice Smith","Heavyweight","USA",1,147,
"3","21/12/1997","Wrestling", "Randy Couture","Heavyweight","USA", 0,0,
"4","07/05/1999","Kickboxing","Bas Rutten", "Heavyweight","HOL",0,0,
"5","19/11/1999","Wrestling", "Kevin Randelman","Heavyweight","USA",1,365,
"6","17/11/2000","Wrestling", "Randy Couture","Heavyweight","USA",2,490,
"7","22/03/2002","Catch Wrestling","Josh Barnett","Heavyweight","USA",0,126,
"8","27/09/2002","BJJ","Ricco Rodriquez","Heavyweight","BRA",0,154,
"9",28/02/2003","MMA","Tim Sylvia","Heavyweight","USA",1,229,
"10","19/06/2004","BJJ","Frank Mir","Heavyweight","USA",0,419,
"11","05/02/2005","Sambo","Andrei Arlovski","Heavyweight","BEL",2,246,
"12","15/04/2006","MMA","Tim Sylvia","Heavyweight","USA",2,322,
"13","03/03/2007","Wrestling","Randy Couture","Heavyweight","USA",1,623,
"14","02/02/2008","BJJ","Antonio Nogueira","Heavyweight","BRA",-,-,
"15","15/11/2008","Wrestling","Brock Lesnar","Heavyweight","USA",2,707,
"16","27/12/2008","BJJ","Frank Mir","Heavyweight","USA",-,-,
"17",27/03/2010","Wrestling","Shance Carwin","Heavyweight","USA",-,-,
"18",23/10/2010","Wrestling","Cain Velasquez","Heavyweight","USA",0,385,
"19"",12/11/2011","Boxing","Junior Dos Santos","Heavyweight","BRA",1,413,
"20",01/07/2012","Wrestling","Cain Velasquez","Heavyweight","USA",2,896,
"21,"13/06/2015","BJJ","Fabricio Werdum","Heavyweight","BRA",-,-,
"22","14/05/2016","MMA","Stipe Miocic","Heavyweight","USA",0,336,
"23",07/07/2018","Wrestling","Daniel Cormier","Heavyweight","USA",3,785,
"24","21/12/1997","MMA", "Frank Shamrock","Light-Heavyweight","USA",4,703,
"25","14/04/2000","Wrestling","Tito Ortiz","Light-Heavyweight","USA",5,1260,
"26","26/9/2003","Wrestling", "Randy Couture","Light-Heavyweight","USA",0,127,
"27","31/1/2004","BJJ","Vitor Belfort","Light-Heavyweight","BRA",0,203,
"28","03/03/2007","Wrestling","Randy Couture","Heavyweight","USA",0,238,
"29","16/04/2005","Kickboxing","Chuck Liddell","Light-Heavyweight","USA",4,770,
"30","26/05/2007","Wrestling", "Quinton Jackson","Light-Heavyweight","USA",1,406,
"31',"05/07/2008","MMA","Forrest Griffin","Light-Heavyweight","USA",0,175,
"32","27/12/2008","Wrestling","Rashad Evans","Light-Heavyweight","USA",0,147,
"33","23/05/2009","Karate","Lyoto Machida","Light-Heavyweight","BRA",1,350,
"34","08/05/2010","Muay Thai","Mauricio Rua","Light-Heavyweight","BRA",0,315,
"35",19/03/2011","MMA","Jon Jones","Light-Heavyweight","USA",8,1501,
"36","23/05/2015","Wrestling","Daniel Cormier","Light-Heavyweight","USA",3,1261,
"37","28/09/2001","MMA","Dave Menne","Middleweight","USA",0,105,
"38","11/01/2002","BJJ","Murilo Bustamante","Middleweight","BRA",1,267,
"39","05/02/2005","MMA","Evan Tanner","Middleweight","USA",0,119,
"40","04/06/2005","MMA","Rich Franklin","Middleweight","USA",2,497,
"41", "14/10/2006","Muay Thai","Anderson Silva","Middleweight","BRA",10,2457,
"42", "06/07/2013","MMA","Chris Weidman","Middleweight","USA",3,888,
"43","12/12/2015","MMA","Luke Rockhold","Middleweight","USA",0,175,
"44","04/06/2016","Kickboxing","Michael Bisping","Middleweight","GBR",1,518,
"45","08/07/2017","MMA","Robert Whittaker","Middleweight","AUS",-, -,
"46","04/11/2017","Karate","George St-Pierre","Middleweight","CAN",0,33,
"47", "07/12/2017","MMA","Robert Whittaker","Middleweight","AUS",0,332,
"48","16/10/1998","Wrestling","Pat Miltech","Welterweight","USA",4,931,
"49","04/05/2001","Ju-Jitsu","Carlos Newton","Welterweight","CAN",0,183,
"50","02/11/2001","Wrestling","Matt Hughes","Welterweight","USA",5,820,
"51","31/01/2004","BJJ","BJ Penn","Welterweight","USA",0,107,
"52","22/10/2004","Wrestling","Matt Hughes","Welterweight","USA",120,757,
"53","18/11/2006","Karate","George St-Pierre","Welterweight","CAN",0,140,
"54","07/04/2007","BJJ","Matt Serra","Welterweight","USA",0,378,
"55","29/12/2007","Karate","George St-Pierre","Welterweight","CAN",9,2064,
"56","04/02/2012","BJJ","Carlos Condit","Welterweight","USA",-,-,
"57","15/03/2014","Wrestling","Johnny Hendricks","Welterweight","USA",0,266,
"58","06/12/2014","Wrestling","Robbie Lawler","Welterweight","USA",2,602,
"59","30/07/2016","Wrestling","Tyron Woodley","Welterweight","USA",4,827
"60","23/02/2001","Wrestling","Jens Pulver","Lightweight","USA",2,393,
"61","14/10/2006","Wrestling"."Sean Sherk","Lightweight","USA",1,420,
"62","19/01/2008","BJJ","B.J Penn","Lightweight","USA",3,812,
"63","10/04/2010","Wrestling","Frankie Edgar","Lightweight","USA",3,687,
"64","26/02/2012","MMA","Benson Henderson","Lightweight","USA",1,552,
"65","31/08/2013","Kickboxing","Anthony Pettis","Lightweight","USA",1,560,
"66","14/03/2015","Muay Thai","Rafel Dos Anjos","Lightweight","BRA",1,481,
"67","07/07/2016","Boxing","Eddie Alvarez","Lightweight","USA",0,128,
"68","12/11/2016","Boxing","Conor McGregor","Lightweight","IRE",0,511,
"69","07/10/2017","Wrestling","Tony Ferguson","Lightweight","USA",-,-,
"70",07/04/2018","Sambo","Khabib Nurmagomedov","Lightweight","RUS",1,217,
"71","20/11/2010","Muay Thai","Jose Aldo","Featherweight","BRA",7,1848,
"72","11/07/2015","Boxing","Conor McGregor","Featherweight","IRE",0,350,
"73"."26/11/2016","Muay Thai","Jose Aldo","Featherweight","BRA",0,189,
"74","03/06/2017","Muay Thai","Max Holloway","Featherweight","USA",1,519,
"75","16/12/2010","MMA","Dominick Cruz","Bantamweight","USA",2,1117,
"76","06/01/2014","BJJ","Renan Barao","Bantamweight","BRA",1,138,
"77","25/05/2014","Wrestling","TJ Dillashaw","Bantamweight","USA",2,603,
"78","17/01/2016","MMA","Dominick Cruz","Bantamweight","USA",1,348,
"79","30/12/2016","Cody Garbrandt","Bantamweight","USA",0,309,
"80","04/11/2017","Wrestling","TJ Dillashaw","Bantamweight","USA",1,365,
"81","22/09/2012","MMA","Demetrious Johnson","Flyweight","USA",11,2142,
"82",04/08/2018","Wrestling","Henry Cejudo","Flyweight","USA",0,92,
